id,mentor_or_mentee,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6,preference_7,preference_8,preference_9,preference_10,preference_11,preference_12,preference_13,preference_14,preference_15,industry,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,gender,gender_preference
36,mentor,125,10,99,192,155,109,138,16,131,37,91,139,82,121,83,Advertising/Marketing;Arts and Design;Entrepreneurship;Aerospace;Pharmaceutical;,5,9,7,10,4,4,Nonbinary/Fluid/Gender Queer,Male
37,mentor,33,20,28,46,181,143,44,149,159,72,144,123,29,84,176,Pharmaceutical;Technology;Government;Other;Engineering;,9,1,3,9,10,6,Male,Nonbinary/Fluid/Gender Queer
38,mentor,24,16,94,62,66,106,167,180,181,72,73,149,60,18,168,Other;Media and News;,6,7,5,8,6,5,Male,Male
39,mentor,159,116,145,168,1,69,185,78,96,129,5,120,39,49,118,Human Resources;Entertainment;Other;,5,7,1,2,7,1,Female,No Preference
40,mentor,48,188,176,107,130,94,70,23,105,177,171,139,2,172,10,Aerospace;Entertainment;Government;Agriculture;Fashion;,5,4,1,5,8,3,Male,Female
41,mentor,34,62,112,2,111,77,102,198,150,181,139,0,32,183,134,Hospitality;Other;,5,1,3,2,5,5,Nonbinary/Fluid/Gender Queer,Male
42,mentor,157,97,164,91,90,180,182,44,5,150,95,22,148,140,24,Finance;Engineering;,4,9,9,4,9,5,Female,Male
43,mentor,2,121,11,105,141,41,194,77,150,84,56,59,65,132,163,Engineering;,8,8,10,8,10,10,Nonbinary/Fluid/Gender Queer,Male
44,mentor,60,193,148,2,116,159,97,110,105,79,192,3,186,191,29,Nonprofit;Aerospace;Technology;,2,6,2,4,4,7,Male,Nonbinary/Fluid/Gender Queer
45,mentor,114,102,21,124,54,133,95,76,57,164,165,178,77,168,127,Education;Real Estate;Agriculture;Human Resources;,1,6,9,1,9,4,Male,Female
46,mentor,121,6,58,94,131,33,36,163,139,187,40,102,84,152,172,Real Estate;,7,1,9,7,7,4,Nonbinary/Fluid/Gender Queer,Female
47,mentor,180,98,10,134,187,42,112,9,63,104,74,25,113,169,145,Arts and Design;Advertising/Marketing;Media and News;,5,3,10,9,10,3,Nonbinary/Fluid/Gender Queer,Female
48,mentor,81,194,132,177,2,30,39,77,75,145,31,74,95,47,100,Arts and Design;Pharmaceutical;Accounting;Advertising/Marketing;,4,6,7,10,9,9,Female,No Preference
49,mentor,21,191,13,117,90,6,22,126,142,157,35,159,156,14,134,Entrepreneurship;Advertising/Marketing;Real Estate;Education;Legal;,7,4,5,7,10,8,Male,Male
50,mentor,7,93,79,63,104,86,99,119,73,23,121,0,155,168,179,Nonprofit;Hospitality;Real Estate;Pharmaceutical;,6,6,2,8,4,8,Nonbinary/Fluid/Gender Queer,No Preference
51,mentor,145,130,112,60,36,118,115,27,161,90,84,102,2,62,44,Finance;,7,2,2,1,6,3,Female,Male
52,mentor,176,28,145,83,95,178,7,62,139,25,152,136,66,118,12,Aerospace;Advertising/Marketing;Nonprofit;Engineering;,5,1,9,5,7,1,Nonbinary/Fluid/Gender Queer,Female
53,mentor,183,136,149,180,171,0,194,197,62,26,198,3,94,55,63,Legal;Aerospace;Entrepreneurship;Technology;,8,1,6,9,4,6,Male,Female
54,mentor,29,88,183,33,78,7,171,118,114,197,50,178,170,195,179,Aerospace;Healthcare;Human Resources;Legal;,9,2,4,5,8,3,Female,Male
55,mentor,168,196,134,165,163,110,117,145,76,173,3,197,97,190,51,Fashion;,8,1,5,10,9,3,Nonbinary/Fluid/Gender Queer,Male
56,mentor,87,62,38,138,162,44,184,173,69,144,52,128,149,181,159,Engineering;Arts and Design;Aerospace;Food and Beverage;Real Estate;,3,6,5,6,9,10,Female,No Preference
57,mentor,88,112,35,68,86,175,20,1,115,111,19,81,102,124,85,Hospitality;Aerospace;Food and Beverage;Arts and Design;Advertising/Marketing;,2,9,2,4,5,10,Nonbinary/Fluid/Gender Queer,Male
58,mentor,130,40,83,44,29,188,52,66,48,27,37,115,85,97,145,Entertainment;Real Estate;Food and Beverage;Agriculture;,2,8,5,9,7,6,Male,Male
59,mentor,38,89,151,132,61,160,189,83,100,196,141,156,111,63,36,Consulting;,7,8,5,2,10,3,Female,Female
60,mentor,197,125,64,93,72,66,23,99,150,119,109,190,107,179,177,Food and Beverage;Legal;Human Resources;,6,6,3,5,6,8,Male,No Preference
61,mentor,158,110,188,61,18,171,173,162,84,7,195,23,33,37,83,Fashion;Finance;Agriculture;Advertising/Marketing;,7,3,4,9,3,8,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
62,mentor,26,101,24,89,168,40,105,58,110,78,104,140,41,12,10,Advertising/Marketing;Finance;Media and News;,3,8,4,9,4,10,Male,Female
63,mentor,70,111,16,33,50,132,195,8,130,71,131,101,176,23,63,Consulting;Advertising/Marketing;,4,1,7,5,7,2,Female,Nonbinary/Fluid/Gender Queer
64,mentor,122,146,188,3,161,49,152,61,45,184,199,75,57,174,72,Agriculture;Accounting;Human Resources;Entertainment;,3,7,5,1,4,10,Nonbinary/Fluid/Gender Queer,Male
65,mentor,41,142,40,168,195,5,87,193,56,157,72,67,30,174,112,Fashion;Media and News;Human Resources;Engineering;,6,3,5,7,6,8,Nonbinary/Fluid/Gender Queer,Female
66,mentor,171,37,58,4,56,67,122,40,96,111,179,46,104,97,128,Technology;Accounting;Human Resources;Media and News;Finance;,6,9,8,7,6,3,Male,Nonbinary/Fluid/Gender Queer
67,mentor,156,14,147,83,199,149,5,136,37,193,16,151,41,18,185,Finance;Hospitality;Nonprofit;Real Estate;,7,1,8,3,9,1,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
68,mentor,39,40,127,183,64,41,169,62,135,112,110,38,87,167,53,Accounting;Consulting;Finance;Aerospace;,7,8,2,8,6,9,Female,Nonbinary/Fluid/Gender Queer
69,mentor,161,142,175,98,165,158,22,143,3,33,132,88,170,193,173,Pharmaceutical;Food and Beverage;,7,5,2,3,4,3,Female,Nonbinary/Fluid/Gender Queer
70,mentor,6,1,58,79,124,199,106,65,61,122,173,77,176,17,117,Government;Pharmaceutical;Media and News;Entertainment;Real Estate;,10,8,9,8,7,1,Female,No Preference
71,mentor,31,39,119,181,112,14,161,125,85,71,6,67,41,129,15,Food and Beverage;Human Resources;Pharmaceutical;Healthcare;Education;,1,3,10,10,4,9,Female,Male
72,mentor,160,173,198,195,72,39,6,85,36,170,128,5,74,147,194,Food and Beverage;Human Resources;,10,5,10,1,1,6,Female,Male
73,mentor,179,41,81,24,57,111,188,119,110,157,131,189,97,174,132,Advertising/Marketing;Engineering;Food and Beverage;,1,5,10,8,7,9,Nonbinary/Fluid/Gender Queer,Female
74,mentor,115,91,21,141,7,87,133,180,71,173,177,134,83,86,145,Consulting;Media and News;Government;Legal;,10,10,7,8,9,10,Female,Nonbinary/Fluid/Gender Queer
75,mentor,13,128,31,65,190,3,96,63,171,61,98,41,54,182,173,Healthcare;Agriculture;,2,5,10,7,9,1,Male,Nonbinary/Fluid/Gender Queer
76,mentor,177,98,89,34,17,35,29,94,111,33,10,142,113,188,67,Advertising/Marketing;Entertainment;Food and Beverage;,8,7,10,10,6,10,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
77,mentor,198,160,120,166,87,52,117,15,172,173,144,132,50,175,26,Aerospace;Consulting;,10,2,9,6,5,6,Female,No Preference
78,mentor,131,53,160,36,152,156,169,78,70,57,39,122,115,168,103,Advertising/Marketing;,10,7,4,8,7,1,Female,Female
79,mentor,160,99,101,142,164,139,63,38,113,187,181,106,140,178,144,Finance;Human Resources;Agriculture;Media and News;Engineering;,2,3,2,4,8,1,Female,Female
80,mentor,137,117,50,108,36,172,161,60,94,191,71,91,114,79,54,Legal;Entertainment;Aerospace;,2,8,10,7,9,3,Female,Male
81,mentor,126,45,166,196,113,148,194,117,97,48,39,82,92,41,189,Consulting;Aerospace;Food and Beverage;Fashion;,1,8,7,3,3,9,Male,Nonbinary/Fluid/Gender Queer
82,mentor,151,163,159,170,40,64,117,192,95,6,33,148,84,122,71,Engineering;Hospitality;,10,3,1,7,1,7,Female,Female
83,mentor,128,19,188,118,90,179,94,136,187,102,149,2,3,127,23,Media and News;Real Estate;Hospitality;Technology;Pharmaceutical;,5,4,7,10,5,7,Nonbinary/Fluid/Gender Queer,Female
84,mentor,49,45,58,100,43,64,78,111,165,82,149,159,181,139,89,Pharmaceutical;Healthcare;Advertising/Marketing;,6,9,8,8,5,5,Male,No Preference
85,mentor,10,61,9,187,7,12,108,160,155,157,27,73,189,177,109,Engineering;Human Resources;Hospitality;Legal;,6,7,8,8,9,10,Male,No Preference
86,mentor,173,190,155,51,171,25,69,61,63,198,114,113,35,31,22,Education;,9,5,1,8,10,3,Female,Male
87,mentor,5,158,42,7,176,179,72,93,62,190,37,170,83,143,54,Finance;Healthcare;Advertising/Marketing;,6,9,6,5,9,3,Male,Male
88,mentor,36,156,16,37,100,137,138,142,165,147,60,124,98,164,194,Legal;Nonprofit;,8,4,5,8,10,2,Male,Female
89,mentor,90,122,77,181,165,119,104,72,37,3,114,120,57,156,131,Engineering;Technology;Government;,4,9,1,10,5,4,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
90,mentor,192,190,144,103,111,27,48,124,11,117,91,137,148,24,183,Entrepreneurship;,5,1,6,1,10,8,Male,Nonbinary/Fluid/Gender Queer
91,mentor,82,15,133,141,83,23,124,116,31,78,109,98,143,134,101,Arts and Design;,5,10,7,1,6,4,Female,No Preference
92,mentor,50,53,165,25,64,9,34,111,175,73,132,121,135,192,92,Entrepreneurship;Pharmaceutical;,9,9,1,9,3,8,Male,Nonbinary/Fluid/Gender Queer
93,mentor,88,176,47,25,19,4,5,100,120,117,26,166,99,36,196,Media and News;Finance;Entrepreneurship;,1,6,2,7,8,3,Male,No Preference
94,mentor,179,102,42,100,66,146,106,191,25,180,34,133,14,173,73,Real Estate;Advertising/Marketing;Other;Healthcare;,5,6,1,10,9,6,Male,No Preference
95,mentor,13,44,49,140,146,113,84,97,126,194,117,19,133,47,175,Nonprofit;,9,2,8,1,5,6,Male,Nonbinary/Fluid/Gender Queer
96,mentor,128,34,64,108,84,116,180,133,171,81,20,154,188,177,66,Fashion;,2,10,9,3,4,2,Nonbinary/Fluid/Gender Queer,Female
97,mentor,76,77,81,25,48,133,95,161,58,20,39,23,111,163,90,Human Resources;,7,7,9,3,2,7,Male,Male
98,mentor,192,91,132,153,199,198,146,156,70,13,164,171,86,7,73,Entrepreneurship;Hospitality;,4,9,7,7,4,2,Female,No Preference
99,mentor,18,118,48,56,24,159,145,90,77,119,98,192,156,36,41,Pharmaceutical;Aerospace;Government;Technology;Entrepreneurship;,3,4,5,7,5,8,Nonbinary/Fluid/Gender Queer,Male
100,mentor,139,47,22,98,117,129,106,175,72,100,142,125,191,85,122,Entrepreneurship;Advertising/Marketing;Other;,8,8,5,3,3,6,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
101,mentor,165,88,158,130,177,182,38,26,97,134,111,187,123,16,156,Other;Engineering;,2,6,7,6,2,10,Nonbinary/Fluid/Gender Queer,No Preference
102,mentor,66,55,121,132,38,11,49,154,33,68,152,160,26,159,85,Pharmaceutical;Arts and Design;Agriculture;Education;,4,1,3,1,10,2,Nonbinary/Fluid/Gender Queer,Male
103,mentor,183,157,159,138,173,192,83,123,195,109,94,29,77,9,16,Real Estate;Healthcare;,10,5,2,10,8,10,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
104,mentor,106,5,45,164,156,103,132,176,49,154,74,28,48,16,93,Advertising/Marketing;Entertainment;Agriculture;Technology;,2,4,5,10,1,2,Male,Nonbinary/Fluid/Gender Queer
105,mentor,47,76,9,73,157,137,135,193,98,177,125,169,158,188,174,Arts and Design;Engineering;,5,2,1,1,2,4,Nonbinary/Fluid/Gender Queer,Male
106,mentor,172,171,71,134,4,93,154,162,125,155,59,141,0,89,146,Technology;Hospitality;Food and Beverage;Consulting;Government;,1,1,1,5,8,7,Male,No Preference
107,mentor,154,128,61,174,27,69,81,77,182,116,64,82,189,123,75,Consulting;Hospitality;Fashion;Media and News;Healthcare;,9,5,5,9,7,6,Female,Female
108,mentor,11,77,7,105,98,93,164,150,18,26,13,27,17,2,108,Real Estate;,9,5,6,6,9,7,Male,No Preference
109,mentor,185,175,50,135,121,52,164,90,94,45,40,172,39,6,21,Advertising/Marketing;,6,2,9,9,5,2,Female,No Preference
110,mentor,152,63,142,98,21,191,139,89,95,121,73,52,43,65,189,Entrepreneurship;Government;Advertising/Marketing;,3,2,5,9,1,9,Male,No Preference
111,mentor,125,132,105,67,22,109,160,93,23,14,74,177,33,157,195,Hospitality;Fashion;,1,8,10,7,2,10,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
112,mentor,142,10,170,22,122,131,148,114,188,107,106,94,15,99,154,Finance;Consulting;Technology;Pharmaceutical;Nonprofit;,5,7,3,10,10,9,Female,No Preference
113,mentor,198,177,166,70,8,143,184,178,39,111,96,89,116,191,88,Government;Nonprofit;Engineering;Finance;Food and Beverage;,10,9,9,5,1,9,Female,Female
114,mentor,172,45,173,19,113,182,52,16,11,72,116,5,107,196,166,Technology;,9,6,3,5,8,10,Male,Nonbinary/Fluid/Gender Queer
115,mentor,102,35,164,65,181,139,75,168,165,85,9,56,22,145,67,Real Estate;Accounting;Human Resources;Entertainment;,7,5,2,9,6,8,Nonbinary/Fluid/Gender Queer,No Preference
116,mentor,184,112,199,32,47,180,14,119,150,30,42,139,77,185,62,Consulting;Media and News;Finance;Entertainment;Healthcare;,4,10,6,8,3,7,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
117,mentor,167,76,38,48,134,47,71,12,18,188,181,177,182,111,97,Nonprofit;Fashion;Agriculture;Food and Beverage;Finance;,8,2,10,3,10,8,Female,Female
118,mentor,74,153,122,8,49,29,128,154,121,162,183,158,193,18,76,Advertising/Marketing;Real Estate;Aerospace;Technology;,1,1,1,10,10,5,Female,Female
119,mentor,26,165,93,105,175,193,152,140,136,50,148,53,117,48,186,Arts and Design;Advertising/Marketing;Accounting;Entrepreneurship;Education;,3,2,10,2,8,2,Female,Nonbinary/Fluid/Gender Queer
120,mentor,84,158,124,147,175,58,180,110,193,138,37,103,1,87,88,Media and News;Legal;Pharmaceutical;Technology;,2,7,9,10,7,4,Nonbinary/Fluid/Gender Queer,Male
121,mentor,114,116,80,127,151,83,110,16,177,70,153,163,141,31,172,Agriculture;Healthcare;Engineering;,9,6,4,6,1,7,Nonbinary/Fluid/Gender Queer,Male
122,mentor,173,49,174,117,180,99,39,128,147,90,81,41,64,73,79,Healthcare;Advertising/Marketing;Nonprofit;Education;,3,9,6,2,7,9,Nonbinary/Fluid/Gender Queer,Female
123,mentor,85,9,11,69,58,146,184,161,22,125,37,53,176,123,15,Arts and Design;Healthcare;Hospitality;Engineering;Real Estate;,1,5,2,7,8,8,Male,Male
124,mentor,186,180,150,52,154,152,188,165,153,61,175,31,19,103,30,Education;Entrepreneurship;,5,3,3,2,9,7,Female,Female
125,mentor,181,114,193,59,31,26,184,150,111,60,113,79,58,66,199,Other;Food and Beverage;,1,7,10,10,3,9,Female,Nonbinary/Fluid/Gender Queer
126,mentor,86,58,12,151,18,115,156,39,176,181,74,145,85,21,36,Entrepreneurship;Technology;Fashion;,3,7,6,7,1,5,Female,Nonbinary/Fluid/Gender Queer
127,mentor,8,44,153,194,48,129,89,135,92,52,7,140,146,50,90,Consulting;Technology;Nonprofit;Engineering;,3,9,1,1,7,3,Male,Female
128,mentor,185,162,122,113,70,116,187,65,67,182,120,29,127,192,69,Finance;Accounting;Consulting;Entertainment;,7,7,8,5,1,3,Nonbinary/Fluid/Gender Queer,Male
129,mentor,166,187,169,89,145,178,110,112,16,76,144,99,29,69,131,Fashion;,2,3,2,1,10,8,Nonbinary/Fluid/Gender Queer,No Preference
130,mentor,47,198,151,197,176,70,46,86,67,117,179,99,163,8,143,Real Estate;Arts and Design;Technology;Accounting;,3,1,3,3,6,5,Female,Nonbinary/Fluid/Gender Queer
131,mentor,49,164,82,74,117,94,189,96,190,156,150,105,110,25,45,Food and Beverage;Pharmaceutical;Aerospace;,6,2,2,8,1,2,Female,Nonbinary/Fluid/Gender Queer
132,mentor,151,4,172,181,72,56,61,196,38,125,169,8,199,161,12,Education;Pharmaceutical;Advertising/Marketing;,8,6,9,5,5,8,Male,Nonbinary/Fluid/Gender Queer
133,mentor,37,191,199,45,179,119,184,123,177,77,136,148,18,108,34,Healthcare;,7,6,1,1,2,1,Female,Male
134,mentor,127,15,1,70,68,173,78,84,131,16,168,138,156,196,38,Real Estate;Finance;Entrepreneurship;Legal;Other;,2,6,10,6,8,6,Nonbinary/Fluid/Gender Queer,No Preference
135,mentor,191,83,91,77,188,107,88,73,1,186,55,42,19,95,32,Real Estate;,6,10,2,1,7,8,Nonbinary/Fluid/Gender Queer,Male
136,mentor,87,31,48,144,3,129,4,62,179,194,198,107,29,56,131,Technology;,4,9,2,3,9,8,Female,Female
137,mentor,60,30,38,27,15,93,25,68,7,137,176,23,170,65,115,Healthcare;,7,2,5,4,5,2,Female,No Preference
138,mentor,112,177,129,147,155,19,40,156,96,179,34,41,167,169,145,Other;Advertising/Marketing;,4,2,2,5,2,1,Nonbinary/Fluid/Gender Queer,Male
139,mentor,128,64,93,134,110,52,131,65,95,40,140,13,29,181,5,Accounting;,4,3,7,4,3,9,Male,No Preference
140,mentor,121,10,55,84,167,41,168,50,48,183,11,150,21,192,101,Pharmaceutical;Nonprofit;Accounting;Real Estate;,10,4,6,3,1,3,Female,Nonbinary/Fluid/Gender Queer
141,mentor,66,127,67,136,157,53,21,8,102,47,13,147,167,194,146,Technology;Media and News;Aerospace;Hospitality;Education;,4,9,9,7,2,6,Female,Male
142,mentor,38,96,112,108,21,159,169,77,39,20,75,61,22,116,165,Government;,9,10,6,8,3,4,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
143,mentor,179,167,77,89,71,82,183,150,76,164,54,48,81,120,172,Entertainment;Human Resources;,2,7,4,7,8,1,Female,Nonbinary/Fluid/Gender Queer
144,mentor,57,22,167,140,71,72,42,117,146,62,75,3,147,126,44,Finance;Pharmaceutical;,10,6,9,6,9,1,Male,Nonbinary/Fluid/Gender Queer
145,mentor,80,42,54,129,151,79,179,148,62,57,35,31,193,116,144,Food and Beverage;,10,9,9,9,6,7,Female,Male
146,mentor,170,80,107,9,69,199,122,175,8,75,96,31,94,132,144,Healthcare;Entertainment;Agriculture;,5,5,3,10,4,6,Nonbinary/Fluid/Gender Queer,Female
147,mentor,54,44,87,102,1,108,197,29,125,198,15,22,74,131,180,Accounting;Media and News;Food and Beverage;Advertising/Marketing;Human Resources;,6,9,7,4,6,7,Nonbinary/Fluid/Gender Queer,Female
148,mentor,104,126,133,132,197,37,163,136,119,34,144,178,173,122,150,Technology;Legal;,6,9,6,8,3,8,Male,Nonbinary/Fluid/Gender Queer
149,mentor,175,51,135,94,171,187,37,7,144,11,119,194,150,142,182,Consulting;Engineering;Agriculture;,5,7,8,7,9,4,Male,Male
150,mentor,65,61,162,166,141,170,195,38,46,39,54,139,87,144,55,Finance;Entertainment;Engineering;Legal;Entrepreneurship;,5,3,6,10,5,8,Male,Female
151,mentor,184,42,142,129,119,64,45,57,103,25,188,19,44,26,123,Entertainment;Hospitality;Consulting;Human Resources;Healthcare;,9,2,10,6,2,2,Male,Nonbinary/Fluid/Gender Queer
152,mentor,119,24,147,126,183,121,35,137,153,130,110,134,77,149,114,Nonprofit;Fashion;,3,5,6,7,2,9,Male,Female
153,mentor,139,163,170,136,53,51,149,156,26,52,50,45,129,107,123,Entrepreneurship;,7,2,1,8,4,4,Nonbinary/Fluid/Gender Queer,No Preference
154,mentor,75,140,155,174,129,163,175,118,48,177,83,37,179,6,82,Legal;Healthcare;Accounting;Food and Beverage;Human Resources;,6,9,3,9,4,10,Nonbinary/Fluid/Gender Queer,No Preference
155,mentor,58,72,148,10,196,41,195,115,35,100,187,191,154,93,54,Arts and Design;Media and News;Entertainment;,6,6,9,3,10,1,Female,Female
156,mentor,9,164,112,62,141,157,60,97,110,121,175,148,179,137,122,Fashion;Media and News;Entertainment;,4,1,5,3,5,7,Male,No Preference
157,mentor,130,110,40,108,16,128,4,113,123,135,59,98,124,172,112,Advertising/Marketing;Accounting;,1,6,4,6,8,5,Nonbinary/Fluid/Gender Queer,Female
158,mentor,47,133,70,85,146,7,88,150,190,91,175,63,48,6,66,Aerospace;Pharmaceutical;Accounting;Other;Engineering;,6,1,10,7,3,4,Male,Nonbinary/Fluid/Gender Queer
159,mentor,85,84,165,38,33,197,118,6,158,13,131,2,152,155,94,Food and Beverage;Hospitality;Arts and Design;Fashion;,4,9,9,2,5,7,Female,Male
160,mentor,73,20,48,115,121,131,107,196,177,45,99,5,94,174,142,Other;,2,10,1,8,2,3,Male,Nonbinary/Fluid/Gender Queer
161,mentor,133,197,6,28,20,109,163,176,18,118,172,156,25,43,127,Healthcare;Finance;Consulting;Other;,7,6,5,2,6,9,Female,Male
162,mentor,93,4,145,142,178,108,114,9,185,55,104,77,143,5,135,Media and News;Hospitality;Fashion;Arts and Design;,8,5,7,1,3,1,Nonbinary/Fluid/Gender Queer,Male
