ID,Mentor or Mentee?,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12,Preference 13,Preference 14,Preference 15,Industry,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Gender,Gender Preference
19,Mentor,174,70,0,184,4,152,178,13,117,33,69,73,89,114,90,Transportation and Logistics;Pharmaceuticals;Automotive,2,3,8,7,9,4,Female,No Preference
20,Mentor,15,139,113,114,44,62,145,181,14,63,165,115,43,187,75,Automotive;Telecommunications;Transportation and Logistics,5,4,7,3,1,8,Female,Female
21,Mentor,157,150,30,89,61,32,94,40,46,129,21,110,179,165,123,Energy,6,3,5,8,10,9,Male,No Preference
22,Mentor,17,37,44,199,24,142,111,109,9,158,33,88,73,146,106,Pharmaceuticals,7,5,8,1,10,9,Male,No Preference
23,Mentor,87,134,135,100,124,149,122,4,59,172,155,41,147,157,119,Telecommunications;Transportation and Logistics,7,10,9,8,4,2,Male,Male
24,Mentor,149,68,19,100,187,79,110,78,30,195,14,96,161,115,77,Telecommunications;Real Estate;Mining,5,6,10,3,9,4,Male,No Preference
25,Mentor,76,39,155,13,69,192,170,20,130,83,126,72,162,116,194,Information Technology,1,10,8,3,7,9,Male,No Preference
26,Mentor,160,137,75,63,57,152,3,178,190,115,145,44,170,90,35,Automotive;Biotechnology,7,10,3,4,2,1,Female,No Preference
27,Mentor,193,72,194,69,116,20,192,155,130,83,148,39,19,108,162,Information Technology,8,5,3,7,9,6,Male,No Preference
28,Mentor,189,183,64,161,12,43,94,141,42,68,30,134,120,157,195,Energy;Telecommunications,6,5,8,10,2,4,Male,No Preference
29,Mentor,149,175,111,134,92,194,43,69,101,123,48,18,65,41,128,Pharmaceuticals;Mining;Telecommunications,1,2,5,4,6,8,Male,No Preference
30,Mentor,6,12,21,0,57,44,85,63,13,3,75,9,70,164,40,Automotive,3,9,10,6,5,8,Non-binary,Non-binary
31,Mentor,68,34,183,105,156,161,86,42,155,56,179,134,66,40,153,Hospitality;Telecommunications,2,10,8,5,6,1,Male,No Preference
32,Mentor,23,172,125,39,47,4,151,182,128,46,3,18,91,187,114,Mining;Biotechnology,5,8,6,2,3,1,Female,No Preference
33,Mentor,79,52,175,20,12,51,22,184,36,138,91,147,126,146,96,Real Estate;Transportation and Logistics,10,9,4,6,7,5,Female,No Preference
34,Mentor,187,46,167,72,23,194,42,17,114,131,39,3,69,35,47,Biotechnology,1,8,9,5,4,3,Female,Female
35,Mentor,27,17,4,143,130,46,175,114,41,102,43,155,22,45,198,Telecommunications;Manufacturing;Mining,5,10,7,9,6,2,Male,No Preference
36,Mentor,174,37,194,33,134,28,188,58,191,92,62,146,198,192,44,Pharmaceuticals,5,1,3,9,4,6,Male,No Preference
37,Mentor,95,28,5,137,106,176,132,4,181,122,63,60,64,136,79,Agriculture,2,4,7,8,3,1,Female,No Preference
38,Mentor,72,83,166,26,39,51,29,54,190,111,86,157,80,19,18,Consumer Goods;Information Technology,1,3,7,5,4,2,Female,No Preference
39,Mentor,39,122,48,101,116,162,77,146,88,170,23,175,130,114,131,Information Technology;Biotechnology;Mining,7,4,6,8,5,9,Male,No Preference
40,Mentor,147,156,97,135,178,148,149,25,60,15,107,100,143,45,129,Manufacturing,10,6,5,4,2,8,Male,No Preference
41,Mentor,84,156,118,153,131,60,17,165,65,100,45,21,16,18,102,Energy;Manufacturing,10,3,6,5,9,7,Male,No Preference
42,Mentor,158,131,26,54,18,121,161,147,165,189,166,193,111,179,93,Energy;Consumer Goods,7,2,4,3,5,1,Male,No Preference
43,Mentor,164,48,94,73,44,86,84,77,127,156,146,67,6,105,187,Mining;Hospitality,3,5,9,7,6,1,Female,No Preference
44,Mentor,15,186,135,91,96,30,22,52,43,122,157,25,79,146,177,Transportation and Logistics;Real Estate,8,4,1,2,7,9,Male,No Preference
45,Mentor,20,125,161,86,69,166,70,126,170,148,120,194,52,198,39,Consumer Goods;Information Technology,8,3,5,9,4,10,Male,No Preference
46,Mentor,176,46,183,42,113,24,110,5,137,56,161,155,187,65,12,Agriculture;Telecommunications,9,7,4,10,2,3,Male,No Preference
47,Mentor,191,121,53,109,194,111,125,62,73,17,24,199,33,28,44,Pharmaceuticals,5,1,7,8,4,10,Female,Female
48,Mentor,43,138,89,51,38,23,129,82,177,71,120,96,162,25,115,Real Estate,9,8,5,4,7,3,Male,No Preference
49,Mentor,4,93,15,79,103,132,122,47,137,144,28,64,60,95,63,Agriculture,4,5,2,1,6,9,Male,No Preference
50,Mentor,107,62,113,81,17,84,8,114,143,15,66,34,71,16,102,Manufacturing,3,5,9,4,10,1,Female,Female
51,Mentor,41,134,42,100,22,24,195,181,73,119,56,107,110,183,46,Telecommunications,10,9,2,5,7,8,Female,No Preference
52,Mentor,129,35,120,60,71,74,100,15,38,52,65,156,102,62,80,Manufacturing;Consumer Goods,1,8,2,4,7,3,Female,No Preference
53,Mentor,130,67,182,98,153,172,188,93,38,127,117,100,86,105,180,Construction;Hospitality,3,5,10,9,8,1,Male,Male
54,Mentor,42,72,93,190,127,10,23,172,180,88,82,101,123,169,35,Biotechnology;Construction,5,10,3,8,1,4,Female,No Preference
55,Mentor,151,57,122,20,147,124,12,163,19,0,87,68,9,157,121,Mining;Transportation and Logistics,10,6,4,8,3,1,Male,No Preference
56,Mentor,166,70,193,32,52,20,86,72,126,99,170,83,19,157,194,Consumer Goods;Information Technology,6,7,5,1,2,10,Male,No Preference
57,Mentor,129,76,49,66,56,81,115,44,10,61,82,20,72,22,188,Real Estate;Hospitality;Construction,2,4,1,3,10,9,Male,No Preference
58,Mentor,6,4,129,9,74,34,100,35,57,81,19,101,8,97,71,Mining;Manufacturing,9,6,5,8,4,2,Female,No Preference
59,Mentor,24,107,94,56,195,149,21,131,113,132,153,184,161,34,39,Energy;Telecommunications,6,10,4,3,7,2,Female,No Preference
60,Mentor,157,48,135,91,12,6,42,39,187,121,46,190,17,159,87,Transportation and Logistics;Biotechnology;Mining,7,2,6,8,10,5,Male,No Preference
61,Mentor,147,86,87,186,2,10,127,4,19,123,126,169,81,100,30,Transportation and Logistics;Construction;Manufacturing,1,8,4,7,5,2,Male,No Preference
62,Mentor,78,3,42,171,183,117,89,13,116,187,137,155,63,44,161,Automotive;Telecommunications,7,8,4,2,1,5,Female,No Preference
63,Mentor,38,82,49,25,177,52,89,162,129,175,36,79,22,23,81,Real Estate,7,4,3,1,5,8,Male,No Preference
64,Mentor,18,27,101,64,198,128,5,95,119,146,93,176,144,79,106,Agriculture;Mining,9,5,7,3,2,1,Female,No Preference
65,Mentor,15,88,122,17,172,134,43,194,188,140,159,44,26,75,38,Pharmaceuticals;Transportation and Logistics;Consumer Goods,5,7,8,6,9,4,Male,No Preference
66,Mentor,167,96,190,51,23,177,17,46,43,131,20,187,182,170,36,Biotechnology;Real Estate,2,8,6,5,1,9,Female,No Preference
67,Mentor,15,34,24,71,114,48,68,107,19,187,22,143,73,56,113,Telecommunications;Mining;Manufacturing,10,5,2,8,7,6,Female,Female
68,Mentor,18,2,80,91,81,97,107,17,172,70,16,135,83,122,99,Manufacturing;Information Technology;Transportation and Logistics,2,4,9,6,1,10,Male,No Preference
69,Mentor,150,143,81,62,15,145,139,44,131,94,71,61,66,111,21,Manufacturing;Automotive;Energy,4,9,6,10,3,8,Female,Female
70,Mentor,139,197,82,75,157,190,177,198,129,161,160,114,117,12,52,Automotive;Real Estate;Consumer Goods,10,3,7,5,4,9,Male,No Preference
71,Mentor,25,15,8,33,17,18,22,16,164,141,40,41,34,44,32,Hospitality;Manufacturing,1,3,8,10,2,5,Non-binary,Non-binary
72,Mentor,148,90,38,165,10,117,176,77,140,182,0,130,169,156,63,Automotive;Construction,3,6,2,1,9,7,Male,No Preference
73,Mentor,115,175,72,137,168,154,89,38,0,130,140,170,65,16,62,Construction;Real Estate;Manufacturing,8,7,6,1,10,4,Female,No Preference
74,Mentor,181,59,113,42,187,12,41,56,119,14,34,183,100,43,115,Telecommunications,1,2,10,4,9,6,Female,No Preference
75,Mentor,155,99,183,39,59,86,161,193,134,41,149,148,130,65,119,Information Technology;Telecommunications,5,1,7,10,2,3,Male,Male
76,Mentor,130,86,162,149,178,80,116,135,70,19,83,34,156,18,45,Information Technology;Manufacturing,10,5,4,3,8,1,Male,No Preference
77,Mentor,191,109,196,192,53,188,88,140,75,37,111,121,142,195,33,Pharmaceuticals,5,8,10,9,4,1,Male,No Preference
78,Mentor,73,187,115,81,143,22,24,56,68,34,43,14,107,181,12,Telecommunications,1,9,4,8,2,6,Female,Female
79,Mentor,12,189,119,43,89,195,39,76,153,94,115,41,150,99,56,Energy;Consumer Goods;Telecommunications,10,4,8,7,5,6,Female,No Preference
80,Mentor,168,9,133,140,158,77,10,123,92,17,24,191,169,53,176,Pharmaceuticals;Construction,10,2,6,9,3,7,Female,No Preference
81,Mentor,23,170,38,175,83,177,51,129,71,134,80,22,99,130,192,Real Estate;Information Technology,2,10,8,6,3,5,Male,No Preference
82,Mentor,17,75,53,62,19,109,199,68,121,58,175,106,33,111,35,Pharmaceuticals;Mining,10,2,4,5,1,7,Female,Female
83,Mentor,116,99,76,91,9,178,106,137,109,35,40,121,114,157,44,Consumer Goods;Automotive,4,7,3,10,6,8,Male,No Preference
84,Mentor,60,114,113,62,65,137,74,149,135,34,18,81,8,130,129,Manufacturing,10,2,1,9,8,5,Female,No Preference
85,Mentor,136,135,2,122,184,199,159,137,146,93,60,126,63,103,12,Transportation and Logistics;Agriculture,9,3,8,5,7,6,Female,No Preference
86,Mentor,80,190,38,158,51,32,13,99,166,26,193,121,52,35,76,Consumer Goods,3,2,4,1,7,6,Male,No Preference
87,Mentor,122,151,87,91,4,147,172,126,159,124,2,12,135,157,146,Transportation and Logistics,4,2,1,5,10,7,Male,Male
88,Mentor,120,134,13,79,138,161,140,106,197,30,89,82,155,101,75,Automotive;Real Estate,5,2,4,3,9,8,Female,No Preference
89,Mentor,187,23,194,167,39,101,114,17,170,72,3,182,42,122,82,Biotechnology,10,5,2,8,6,9,Male,No Preference
90,Mentor,167,184,135,163,151,175,122,4,91,62,2,147,157,103,124,Transportation and Logistics,1,8,7,3,2,10,Female,No Preference
91,Mentor,5,93,41,103,156,74,25,47,34,18,17,60,135,81,15,Manufacturing;Agriculture,10,1,7,4,5,9,Female,No Preference
92,Mentor,10,156,123,99,111,129,7,158,157,112,115,177,170,190,127,Consumer Goods;Real Estate;Construction,2,7,9,3,1,5,Female,No Preference
93,Mentor,168,34,68,65,134,195,154,98,59,19,155,186,35,41,165,Telecommunications;Construction;Biotechnology,6,4,9,7,5,10,Male,No Preference
94,Mentor,4,157,122,20,167,71,159,12,162,38,22,134,62,115,96,Transportation and Logistics;Real Estate,2,3,8,1,7,10,Female,No Preference
95,Mentor,129,91,81,38,164,135,162,159,115,73,25,100,49,44,103,Real Estate;Transportation and Logistics;Hospitality,8,1,7,9,4,2,Male,No Preference
96,Mentor,192,195,44,135,126,142,2,33,111,15,172,103,23,17,9,Transportation and Logistics;Pharmaceuticals,10,5,1,2,9,6,Male,No Preference
97,Mentor,52,22,43,71,81,186,175,138,120,36,23,79,25,115,177,Real Estate,2,1,9,10,4,7,Female,No Preference
98,Mentor,42,190,182,47,194,35,114,69,72,101,187,17,88,82,122,Biotechnology,9,2,1,8,4,10,Male,No Preference
99,Mentor,176,110,81,161,119,187,13,63,40,42,57,56,44,160,65,Automotive;Telecommunications,4,8,9,6,2,1,Female,No Preference
100,Mentor,128,181,69,130,101,5,119,93,70,64,28,55,170,137,4,Agriculture;Information Technology;Mining,4,7,2,1,5,6,Female,No Preference
101,Mentor,51,23,13,29,43,4,35,52,2,32,38,15,18,26,12,Transportation and Logistics;Consumer Goods,5,7,6,9,3,4,Non-binary,Non-binary
102,Mentor,156,101,190,131,50,114,179,127,194,44,33,32,86,47,42,Hospitality;Biotechnology,5,10,4,9,7,6,Male,No Preference
103,Mentor,137,165,145,39,110,30,117,191,178,157,152,101,189,140,44,Energy;Automotive,9,2,3,6,4,5,Female,No Preference
104,Mentor,5,60,166,176,122,125,132,198,161,121,72,192,194,18,158,Agriculture;Consumer Goods;Information Technology,2,5,10,1,6,7,Male,No Preference
105,Mentor,30,69,193,13,194,11,93,150,46,80,148,170,89,179,40,Energy;Information Technology,9,1,4,8,6,7,Female,No Preference
106,Mentor,6,68,27,146,0,101,77,35,91,18,20,60,187,9,172,Mining,2,9,5,6,8,1,Male,No Preference
107,Mentor,60,148,156,35,198,9,66,178,187,137,125,57,107,15,77,Mining;Manufacturing,3,10,2,9,6,4,Female,No Preference
108,Mentor,117,154,197,40,140,30,148,118,101,190,172,3,98,93,13,Automotive;Construction,4,8,3,9,10,6,Male,No Preference
109,Mentor,125,144,122,170,5,48,55,76,101,4,119,155,57,15,192,Agriculture;Mining;Information Technology,8,4,1,7,10,3,Female,No Preference
110,Mentor,180,186,86,130,140,117,133,170,182,30,127,123,169,93,38,Construction,7,6,10,9,1,8,Male,Male
111,Mentor,177,43,82,25,96,115,36,52,38,162,89,71,186,138,30,Real Estate,2,4,10,1,9,5,Male,No Preference
112,Mentor,38,120,101,69,39,43,187,186,25,23,122,22,71,88,47,Biotechnology;Real Estate,8,4,10,9,1,3,Female,No Preference
113,Mentor,57,116,117,6,40,145,21,118,70,137,13,3,165,12,148,Automotive,10,1,3,4,2,8,Male,No Preference
114,Mentor,134,81,52,43,167,82,194,170,36,122,96,46,186,129,22,Real Estate;Biotechnology,4,9,6,1,8,5,Male,No Preference
115,Mentor,124,15,172,91,163,175,157,184,122,147,23,103,146,4,12,Transportation and Logistics,10,3,7,6,4,2,Male,No Preference
116,Mentor,50,8,137,44,81,19,72,99,100,16,25,133,147,69,32,Information Technology;Hospitality;Manufacturing,1,6,9,2,4,3,Male,No Preference
117,Mentor,86,67,91,156,179,105,151,18,60,101,119,198,40,27,57,Mining;Hospitality,5,4,1,3,6,8,Male,Male
118,Mentor,164,132,44,56,50,67,61,133,73,66,179,71,84,94,141,Hospitality,5,3,9,2,7,1,Male,No Preference
119,Mentor,2,132,23,173,165,157,191,40,167,151,34,126,46,111,153,Transportation and Logistics;Energy,4,2,6,10,7,3,Female,No Preference
120,Mentor,137,74,129,97,156,65,148,41,135,25,147,45,130,60,16,Manufacturing,8,2,7,4,5,9,Male,Male
121,Mentor,153,39,109,173,189,94,191,46,129,89,110,157,40,150,131,Energy,1,6,10,9,5,7,Male,No Preference
122,Mentor,95,73,53,199,132,24,176,121,92,88,140,188,151,9,63,Agriculture;Pharmaceuticals,1,3,2,10,9,8,Female,No Preference
123,Mentor,20,2,125,43,0,66,132,56,12,33,187,35,44,185,73,Mining;Transportation and Logistics;Hospitality,10,7,3,9,1,6,Female,Female
124,Mentor,134,52,22,82,175,89,51,138,129,186,30,177,23,36,79,Real Estate,8,5,1,7,2,10,Female,No Preference
125,Mentor,162,194,86,170,72,155,76,116,20,39,55,130,108,193,19,Information Technology,10,6,4,3,7,9,Female,No Preference
126,Mentor,19,52,166,18,170,61,194,158,155,116,150,157,80,86,189,Information Technology;Consumer Goods;Energy,5,2,7,6,9,8,Female,No Preference
127,Mentor,137,93,81,184,66,18,74,152,71,145,45,65,129,32,44,Automotive;Manufacturing;Energy,9,8,4,6,2,1,Male,No Preference
128,Mentor,130,19,18,9,182,39,17,146,133,175,68,57,3,35,131,Biotechnology;Mining;Construction,9,4,1,8,10,5,Female,No Preference
129,Mentor,190,33,121,24,28,13,54,111,193,44,199,188,32,109,158,Consumer Goods;Pharmaceuticals,6,2,8,1,10,7,Female,No Preference
130,Mentor,167,72,187,20,47,19,175,131,0,35,121,77,68,17,194,Mining;Biotechnology,8,4,1,7,3,10,Female,Female
131,Mentor,2,21,0,103,116,165,163,175,63,167,197,68,48,114,43,Automotive;Transportation and Logistics;Mining,7,3,5,4,8,9,Female,Female
132,Mentor,147,70,118,197,124,183,159,41,75,172,23,114,43,190,110,Transportation and Logistics;Telecommunications;Automotive,5,2,9,7,4,8,Female,No Preference
133,Mentor,95,25,16,81,71,106,176,84,93,66,15,65,181,122,102,Agriculture;Manufacturing,2,8,10,9,4,7,Female,No Preference
134,Mentor,119,194,79,181,56,30,101,20,78,113,49,12,88,41,134,Biotechnology;Real Estate;Telecommunications,10,1,2,3,4,8,Female,No Preference
135,Mentor,40,63,35,57,178,145,171,85,199,119,77,146,151,19,167,Automotive;Mining,5,7,2,3,4,1,Male,No Preference
136,Mentor,18,26,80,111,109,35,121,76,29,51,112,125,38,13,32,Consumer Goods,7,8,6,2,9,1,Female,Female
137,Mentor,155,39,129,82,186,78,114,194,182,88,34,35,71,69,175,Biotechnology;Real Estate;Telecommunications,9,8,6,7,1,3,Male,No Preference
138,Mentor,61,64,191,35,82,170,46,11,47,101,173,182,153,187,150,Energy;Biotechnology,1,4,5,7,8,2,Female,No Preference
139,Mentor,115,101,38,141,69,138,186,183,143,46,177,79,34,82,3,Real Estate;Biotechnology;Telecommunications,5,2,1,3,10,6,Female,No Preference
140,Mentor,14,65,195,119,41,100,59,155,134,149,161,46,12,42,183,Telecommunications,3,8,7,1,5,10,Male,Male
141,Mentor,189,165,123,11,61,40,15,87,39,1,157,173,159,126,120,Transportation and Logistics;Energy,1,6,8,2,9,10,Female,No Preference
142,Mentor,5,136,122,144,28,15,4,60,79,176,151,47,95,137,93,Agriculture,10,2,8,6,1,7,Male,Male
143,Mentor,13,138,129,134,49,38,130,89,120,52,148,79,186,155,82,Information Technology;Real Estate,9,6,3,5,8,2,Male,Male
144,Mentor,71,34,32,15,113,81,107,84,8,125,29,121,51,66,109,Manufacturing;Consumer Goods,9,8,5,2,1,4,Female,Female
145,Mentor,109,73,121,69,194,17,92,188,146,37,198,104,195,192,134,Pharmaceuticals,2,5,10,4,8,7,Female,No Preference
146,Mentor,34,81,24,73,181,107,187,183,143,119,155,141,41,12,134,Telecommunications,6,2,3,8,5,7,Male,No Preference
147,Mentor,192,6,20,13,22,70,69,19,25,23,18,0,4,9,27,Real Estate;Information Technology;Mining,8,4,3,5,10,9,Non-binary,Non-binary
148,Mentor,30,3,6,40,178,171,101,148,139,137,167,145,23,129,114,Real Estate;Automotive,9,5,6,4,8,2,Male,No Preference
149,Mentor,70,194,134,148,162,62,44,123,80,188,106,86,72,126,130,Information Technology;Pharmaceuticals,3,7,6,1,4,2,Female,No Preference
150,Mentor,1,147,182,165,35,120,114,32,179,187,80,122,167,108,20,Information Technology;Energy;Biotechnology,7,10,5,8,4,9,Female,No Preference
151,Mentor,50,32,66,73,33,131,71,76,194,187,44,72,94,185,35,Hospitality;Biotechnology,10,6,2,1,7,9,Female,Female
152,Mentor,181,68,56,133,100,119,22,15,134,73,43,40,188,91,143,Transportation and Logistics;Telecommunications;Hospitality,6,7,8,9,5,3,Female,No Preference
153,Mentor,147,2,123,93,34,21,15,43,131,175,199,151,89,46,153,Transportation and Logistics;Agriculture;Energy,6,7,8,10,2,1,Male,No Preference
154,Mentor,192,199,99,160,3,40,148,21,44,162,114,178,6,161,55,Automotive;Information Technology,9,5,7,8,4,10,Female,No Preference
155,Mentor,185,181,6,132,167,3,66,141,90,139,117,67,91,63,12,Automotive;Hospitality,4,7,5,10,1,6,Female,No Preference
156,Mentor,99,157,54,18,52,158,13,166,26,120,38,161,193,198,190,Consumer Goods,10,9,7,3,4,8,Male,Male
157,Mentor,38,181,46,65,137,18,113,122,28,107,13,32,14,73,134,Consumer Goods;Telecommunications;Agriculture,6,4,8,1,3,7,Male,No Preference
158,Mentor,191,132,120,40,189,21,110,32,129,61,111,153,184,118,147,Energy,2,1,9,8,6,4,Male,No Preference
159,Mentor,185,47,131,88,148,122,67,46,86,22,19,66,133,182,156,Hospitality;Information Technology;Biotechnology,5,4,1,8,6,3,Female,No Preference
160,Mentor,84,156,198,190,185,120,188,141,112,100,38,179,18,132,99,Consumer Goods;Hospitality,4,3,2,1,7,6,Female,No Preference
161,Mentor,61,188,105,132,3,182,17,136,194,35,167,114,95,101,100,Biotechnology;Hospitality;Agriculture,7,4,5,9,6,8,Female,No Preference
162,Mentor,87,129,181,187,66,24,45,60,100,12,68,122,62,8,126,Manufacturing;Transportation and Logistics;Telecommunications,6,2,4,7,1,9,Male,No Preference
163,Mentor,33,66,32,56,100,76,127,86,105,84,40,50,44,22,133,Hospitality,7,2,6,1,5,10,Female,No Preference
164,Mentor,124,39,67,179,44,170,69,76,114,147,40,71,175,187,188,Hospitality;Biotechnology;Transportation and Logistics,4,10,9,8,7,2,Male,No Preference
165,Mentor,46,82,72,88,35,42,114,167,187,122,182,39,47,23,101,Biotechnology,1,6,8,3,4,10,Female,No Preference
166,Mentor,123,140,9,196,134,88,188,104,53,192,198,58,142,111,62,Pharmaceuticals,10,5,9,6,3,8,Male,No Preference
167,Mentor,143,156,148,113,129,60,84,178,25,114,8,100,74,65,16,Manufacturing,2,3,5,6,10,4,Female,No Preference
168,Mentor,43,141,157,26,176,35,14,73,5,47,4,103,107,99,18,Agriculture;Telecommunications;Consumer Goods,7,3,4,9,6,10,Female,No Preference
169,Mentor,182,98,180,130,122,136,123,156,127,4,30,140,176,93,170,Agriculture;Construction,5,4,10,1,2,6,Male,Male
170,Mentor,86,37,188,140,126,176,174,146,92,198,170,123,142,134,9,Pharmaceuticals;Information Technology,9,4,5,7,2,6,Male,Male
171,Mentor,181,34,161,14,141,107,100,143,113,22,195,149,110,24,41,Telecommunications,3,8,1,6,9,10,Female,No Preference
172,Mentor,131,69,43,107,56,24,3,122,73,78,187,35,41,110,47,Telecommunications;Biotechnology,3,1,9,4,7,5,Male,No Preference
173,Mentor,198,91,101,44,178,104,70,92,53,181,63,116,146,73,6,Automotive;Pharmaceuticals,6,8,10,1,3,7,Male,No Preference
174,Mentor,156,71,41,133,43,65,134,22,155,24,94,66,34,33,67,Telecommunications;Hospitality,3,4,1,5,9,6,Male,No Preference
175,Mentor,39,6,101,57,176,89,120,198,40,123,118,46,147,155,117,Pharmaceuticals;Automotive;Energy,4,5,2,3,8,1,Male,Male
176,Mentor,171,170,69,182,165,72,152,3,21,115,101,85,145,17,176,Biotechnology;Automotive,5,10,9,4,1,8,Female,No Preference
177,Mentor,72,46,187,23,131,39,3,35,194,69,114,42,167,47,17,Biotechnology,3,2,9,7,6,8,Female,Female
178,Mentor,26,125,121,158,111,109,35,38,161,157,99,18,29,112,198,Consumer Goods,9,10,3,1,6,8,Male,No Preference
179,Mentor,13,76,15,95,108,199,130,132,194,47,126,155,79,4,93,Information Technology;Agriculture,3,6,1,8,4,5,Female,No Preference
180,Mentor,30,133,188,1,123,86,120,40,173,156,147,46,67,93,153,Energy;Hospitality,6,7,9,5,8,2,Male,Male
181,Mentor,129,89,147,26,125,39,51,32,121,179,193,132,46,112,184,Consumer Goods;Energy,7,4,5,3,10,6,Male,No Preference
182,Mentor,148,72,108,170,0,70,10,84,76,7,20,77,130,99,156,Information Technology;Construction,5,10,6,2,7,3,Female,No Preference
183,Mentor,71,22,84,94,76,32,185,56,50,33,44,132,66,73,61,Hospitality,10,1,8,6,5,3,Female,Female
184,Mentor,12,23,84,163,124,19,182,15,38,151,91,87,167,103,133,Transportation and Logistics;Construction,3,4,6,8,2,5,Male,No Preference
185,Mentor,16,182,102,19,179,105,25,98,50,66,86,76,32,10,34,Construction;Hospitality;Manufacturing,2,3,9,4,8,1,Male,No Preference
186,Mentor,181,191,63,4,46,165,99,122,94,118,141,13,151,79,5,Energy;Agriculture;Consumer Goods,5,1,4,10,7,8,Male,No Preference
187,Mentor,57,175,19,2,87,157,122,184,17,170,15,27,103,187,39,Mining;Biotechnology;Transportation and Logistics,6,2,8,5,7,3,Male,No Preference
188,Mentor,194,108,165,58,180,70,0,126,193,93,10,172,39,13,130,Construction;Information Technology,4,8,7,3,10,2,Male,No Preference
189,Mentor,135,12,43,146,163,23,91,103,122,157,147,15,4,126,172,Transportation and Logistics,1,4,5,3,6,7,Female,No Preference
190,Mentor,164,153,22,188,33,185,127,32,50,66,156,94,67,84,44,Hospitality,7,6,8,10,3,9,Male,No Preference
191,Mentor,127,17,42,123,194,35,0,72,192,99,76,182,193,10,126,Construction;Information Technology;Biotechnology,10,5,3,1,8,7,Male,No Preference
192,Mentor,55,13,99,76,193,108,39,155,170,194,162,130,80,192,20,Information Technology,5,3,9,1,8,6,Male,No Preference
193,Mentor,68,20,88,198,119,182,114,27,170,122,190,125,77,46,194,Mining;Biotechnology,2,4,9,7,3,5,Male,No Preference
194,Mentor,62,126,140,53,116,82,158,177,175,92,105,111,51,106,72,Pharmaceuticals;Real Estate;Information Technology,3,8,5,7,6,2,Female,No Preference
195,Mentor,30,86,81,38,84,51,43,153,175,177,162,134,127,71,40,Real Estate;Hospitality,9,2,1,3,8,4,Male,No Preference
