ID,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12,Preference 13,Preference 14,Preference 15,Industry,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Gender,Gender Preference
38,115,153,38,5,117,154,46,196,59,123,81,194,17,134,147,Telecommunications;Hospitality;Agriculture,10,7,8,1,3,5,9,Male,No Preference
39,171,103,142,180,172,48,37,138,79,152,104,52,53,101,38,Automotive;Construction,10,8,6,4,7,3,2,Male,No Preference
40,155,69,17,21,193,54,13,100,108,85,10,198,187,150,43,Hospitality,6,9,4,8,3,10,2,Male,No Preference
41,188,3,136,156,60,47,148,15,7,44,193,178,69,99,53,Agriculture;Manufacturing;Automotive,8,7,10,9,6,1,3,Female,No Preference
42,16,67,76,12,61,168,20,22,15,182,47,113,124,58,149,Transportation and Logistics;Manufacturing;Consumer Goods,1,7,5,3,6,10,9,Female,Female
43,1,88,48,38,78,2,107,84,103,44,178,196,198,132,18,Real Estate,9,2,5,10,6,7,8,Male,Male
44,106,79,131,15,23,32,187,4,155,98,186,166,39,179,118,Pharmaceuticals,6,1,8,2,7,4,5,Male,No Preference
45,65,38,163,150,78,43,119,87,85,187,95,96,130,76,151,Hospitality;Mining,4,3,1,5,7,6,2,Female,No Preference
46,70,15,3,96,180,181,171,34,152,56,44,196,120,35,17,Automotive;Manufacturing,6,9,5,3,1,10,8,Female,No Preference
47,9,140,94,21,23,166,146,179,58,2,79,189,100,68,194,Energy,10,4,9,3,2,7,5,Female,No Preference
48,91,147,175,70,129,181,116,190,152,99,52,193,137,69,96,Agriculture;Automotive,4,9,7,3,5,8,1,Male,Male
49,10,21,148,42,193,150,69,88,138,104,19,156,164,139,110,Construction;Hospitality,9,7,5,2,8,3,4,Female,No Preference
50,76,170,194,108,129,140,85,198,87,174,164,38,57,10,86,Agriculture;Hospitality,4,10,3,6,8,2,7,Female,No Preference
51,98,133,28,149,85,27,131,175,54,190,61,14,126,151,46,Consumer Goods,4,3,6,2,9,7,8,Male,No Preference
52,109,77,183,157,115,122,181,55,103,102,194,148,63,168,192,Information Technology,3,9,2,6,4,10,7,Female,No Preference
53,121,42,6,108,154,73,173,49,138,164,148,139,79,94,114,Construction,7,2,1,4,3,9,6,Non-binary,No Preference
54,50,44,145,172,123,58,83,120,68,117,196,166,131,154,76,Telecommunications;Energy;Manufacturing,4,3,7,5,2,10,6,Female,No Preference
55,111,145,39,10,189,1,124,15,120,44,20,95,128,22,168,Biotechnology;Manufacturing,2,10,7,4,3,5,8,Female,No Preference
56,111,99,142,44,97,131,109,46,14,133,126,76,35,151,69,Consumer Goods;Manufacturing,1,8,6,7,10,9,3,Male,No Preference
57,34,67,57,173,12,182,2,185,15,124,146,188,179,181,116,Transportation and Logistics;Automotive,4,8,10,7,6,9,3,Male,No Preference
58,134,68,50,179,146,79,94,108,58,9,183,162,167,131,172,Energy,7,3,6,9,10,2,4,Female,Female
59,115,3,129,164,132,194,138,0,22,91,143,125,59,86,17,Agriculture;Manufacturing,7,4,6,2,9,8,10,Male,No Preference
60,163,130,170,16,86,32,191,197,57,13,180,62,10,20,172,Mining,9,6,8,4,7,3,10,Female,Female
61,57,111,1,109,191,196,16,69,44,20,120,62,130,159,139,Manufacturing;Mining,10,4,9,7,2,1,5,Female,No Preference
62,1,44,171,198,132,184,78,18,196,9,170,38,72,64,84,Real Estate,5,9,6,3,10,7,2,Male,No Preference
63,10,75,38,1,164,111,138,169,182,42,197,35,142,165,148,Consumer Goods;Construction;Manufacturing,8,5,2,6,3,1,10,Female,No Preference
64,22,137,97,3,145,170,177,193,33,15,164,168,129,58,115,Manufacturing;Agriculture,8,2,7,3,4,1,5,Male,No Preference
65,193,65,89,190,16,5,130,119,136,122,148,116,139,199,47,Agriculture;Mining,9,4,8,6,10,3,1,Male,No Preference
66,56,101,34,172,149,52,143,57,180,86,173,53,7,182,171,Automotive,5,8,6,10,9,7,1,Female,Female
67,41,89,81,160,2,3,67,179,16,119,164,85,20,12,44,Transportation and Logistics,10,2,8,7,5,3,6,Female,No Preference
68,195,18,123,84,126,44,46,127,88,198,135,41,171,78,72,Real Estate,7,8,2,9,10,4,3,Female,No Preference
69,107,48,125,38,46,72,18,170,41,123,127,178,195,149,1,Real Estate,9,5,7,4,6,3,2,Male,No Preference
70,46,17,78,4,141,196,25,194,131,13,11,119,186,33,21,Pharmaceuticals;Information Technology;Hospitality,3,10,9,5,1,7,2,Male,No Preference
71,155,147,175,141,8,24,190,93,62,130,74,151,53,127,163,Biotechnology;Pharmaceuticals;Mining,3,9,7,2,8,1,4,Female,No Preference
72,126,61,67,164,121,149,140,112,46,125,115,27,186,113,170,Agriculture;Consumer Goods,8,1,10,3,9,4,2,Female,Female
73,139,27,20,199,190,94,159,91,180,16,163,86,191,89,61,Mining;Consumer Goods,5,6,1,8,10,9,4,Male,No Preference
74,157,115,67,6,50,63,138,173,148,87,153,22,109,79,102,Information Technology;Telecommunications;Construction,6,9,3,1,8,10,2,Female,No Preference
75,148,187,48,121,165,139,6,42,38,49,138,33,82,1,164,Construction;Pharmaceuticals,2,9,4,6,1,10,7,Male,No Preference
76,98,119,198,33,106,130,155,28,133,131,118,4,166,95,82,Pharmaceuticals,10,9,6,2,1,8,3,Female,No Preference
77,54,151,43,169,182,133,142,52,46,100,67,87,121,61,154,Consumer Goods;Telecommunications,4,3,8,5,10,2,9,Female,No Preference
78,116,176,197,42,159,199,164,57,130,73,101,96,138,191,43,Construction;Mining,6,10,7,2,1,3,5,Female,No Preference
79,53,114,74,135,171,48,184,1,126,93,38,107,124,18,103,Real Estate;Biotechnology,8,4,6,1,9,2,3,Female,No Preference
80,189,23,83,139,116,33,89,91,15,96,106,194,134,175,21,Pharmaceuticals;Mining;Energy,6,5,7,3,9,4,10,Male,No Preference
81,53,46,87,77,149,63,197,150,47,182,168,171,112,27,76,Consumer Goods;Information Technology;Hospitality,3,2,1,10,7,5,8,Female,Female
82,195,135,48,125,1,18,126,44,72,78,46,132,74,149,64,Real Estate,3,2,4,1,10,9,8,Female,No Preference
83,81,197,182,117,27,52,47,112,153,151,54,147,87,133,61,Telecommunications;Consumer Goods,1,10,6,8,4,9,3,Female,No Preference
84,122,136,137,25,119,155,147,132,118,178,129,187,24,166,91,Pharmaceuticals;Agriculture,6,4,7,2,8,10,3,Male,Male
85,194,83,196,44,15,168,69,35,50,167,159,21,17,60,1,Manufacturing;Telecommunications;Energy,9,6,5,2,3,7,4,Female,No Preference
86,189,146,183,140,194,125,5,67,70,23,115,92,94,170,58,Agriculture;Energy,8,5,1,9,7,10,4,Male,No Preference
87,34,99,116,173,96,180,182,53,101,73,143,86,92,52,70,Automotive,8,7,5,4,6,1,10,Male,No Preference
88,186,175,33,28,147,145,22,185,140,170,164,138,154,66,81,Agriculture;Biotechnology;Transportation and Logistics,2,4,9,6,10,7,3,Female,No Preference
89,92,189,21,166,95,88,118,54,196,18,85,70,187,137,193,Energy;Agriculture;Hospitality,6,3,8,7,5,4,9,Male,Male
90,123,74,101,139,43,67,154,107,22,81,138,134,117,83,87,Telecommunications,3,7,1,8,6,10,2,Female,No Preference
91,118,85,4,186,157,156,59,141,179,168,148,95,198,102,24,Consumer Goods;Pharmaceuticals;Information Technology,1,8,10,9,5,7,3,Male,No Preference
92,182,114,47,168,164,53,2,41,24,22,166,8,185,189,51,Transportation and Logistics;Biotechnology,10,4,1,7,9,6,2,Male,No Preference
93,108,180,124,158,46,26,30,198,150,43,88,12,44,15,189,Transportation and Logistics;Hospitality,3,5,10,2,1,7,8,Female,No Preference
94,162,9,58,23,179,108,50,94,172,189,167,194,134,92,131,Energy,8,3,5,1,7,6,2,Male,No Preference
95,194,148,158,161,119,129,110,102,66,160,40,144,89,192,142,Transportation and Logistics;Information Technology,4,5,9,10,2,6,7,Male,Male
96,100,43,98,22,87,3,197,54,153,190,46,139,101,52,154,Consumer Goods;Telecommunications,1,6,9,10,4,8,7,Male,No Preference
97,180,148,9,161,156,144,70,183,7,168,57,56,53,34,73,Automotive;Information Technology,8,5,1,10,6,2,7,Female,No Preference
98,41,127,126,66,110,58,108,172,39,162,2,51,131,70,154,Biotechnology;Energy,1,10,7,4,8,2,5,Male,No Preference
99,43,155,19,95,108,76,46,189,21,187,38,78,196,69,100,Hospitality,2,1,9,6,4,10,7,Female,No Preference
100,33,164,138,75,104,42,6,121,79,37,49,94,101,114,156,Construction,5,3,8,2,1,10,4,Female,No Preference
101,1,166,119,161,194,118,103,181,23,157,130,155,106,28,179,Pharmaceuticals;Information Technology,2,8,9,5,7,3,10,Female,No Preference
102,179,77,80,189,115,44,119,67,194,142,40,126,24,12,129,Information Technology;Biotechnology;Transportation and Logistics,3,1,2,8,9,10,6,Female,No Preference
103,15,124,38,119,46,47,164,12,73,108,43,3,42,179,81,Consumer Goods;Construction;Transportation and Logistics,7,8,3,2,9,4,1,Male,No Preference
104,140,50,92,12,166,94,172,21,68,159,189,2,162,131,58,Energy,7,9,10,2,5,1,8,Female,No Preference
105,98,58,141,23,69,95,179,28,79,83,169,25,82,186,31,Manufacturing;Pharmaceuticals,5,8,6,2,4,9,1,Male,No Preference
106,41,145,79,67,173,94,162,121,138,146,101,30,109,9,180,Construction;Transportation and Logistics;Energy,4,3,5,7,8,9,10,Female,Female
107,109,112,126,151,46,37,38,49,149,148,190,6,79,131,138,Consumer Goods;Construction,1,8,10,5,7,6,9,Female,No Preference
108,31,23,180,98,166,73,52,24,92,173,172,59,171,95,86,Automotive;Pharmaceuticals,4,3,1,10,7,9,5,Male,No Preference
109,118,101,116,159,79,73,165,155,163,198,196,197,69,138,192,Construction;Hospitality;Mining,1,3,6,9,2,4,7,Female,No Preference
110,2,13,9,122,17,87,143,170,149,123,110,189,147,150,41,Agriculture;Hospitality;Real Estate,2,4,5,8,1,6,9,Male,No Preference
111,151,139,89,96,159,91,105,172,190,180,16,191,13,133,65,Mining,2,4,3,10,9,1,7,Female,No Preference
112,103,184,172,78,2,18,9,139,96,107,62,178,10,74,125,Mining;Real Estate,10,4,9,7,6,2,1,Female,No Preference
113,195,185,24,26,95,35,47,69,9,15,64,58,169,84,30,Manufacturing;Real Estate;Transportation and Logistics,8,9,4,7,3,6,10,Male,No Preference
114,128,51,157,39,53,22,90,181,183,41,114,37,29,40,9,Biotechnology;Information Technology,1,4,2,3,9,5,6,Male,No Preference
115,96,89,133,32,197,159,16,57,13,91,130,191,65,192,163,Mining,8,2,6,5,4,1,7,Male,No Preference
116,103,1,46,72,48,44,107,198,132,41,184,18,88,149,2,Real Estate,8,4,7,9,1,5,10,Male,No Preference
117,137,178,97,24,67,47,4,22,95,31,169,109,136,160,111,Agriculture;Pharmaceuticals;Manufacturing,2,3,1,10,8,5,7,Female,No Preference
118,190,45,113,27,119,82,33,175,149,23,35,130,85,197,131,Consumer Goods;Pharmaceuticals,8,6,10,2,1,9,5,Female,No Preference
119,155,115,150,43,37,110,161,156,2,95,102,13,21,187,18,Hospitality;Information Technology;Real Estate,6,8,9,1,7,10,5,Female,No Preference
120,16,125,149,171,65,190,74,132,199,170,141,48,39,46,28,Pharmaceuticals;Mining;Real Estate,3,10,1,5,8,7,9,Male,No Preference
121,132,103,84,120,145,74,171,35,46,17,18,0,196,10,178,Real Estate;Manufacturing,2,5,9,7,4,3,10,Female,No Preference
122,188,182,99,190,57,116,7,180,53,143,52,171,73,101,86,Automotive,6,7,2,10,5,1,8,Female,No Preference
123,79,118,44,83,70,58,69,119,1,130,95,186,10,198,56,Manufacturing;Pharmaceuticals;Automotive,9,10,2,4,7,5,3,Female,No Preference
124,1,111,59,143,134,9,145,23,186,168,67,137,110,196,147,Agriculture;Energy;Manufacturing,1,3,10,8,9,4,2,Male,No Preference
125,10,145,22,120,196,15,58,168,99,115,17,169,60,111,35,Manufacturing,4,9,6,10,5,3,1,Male,No Preference
126,90,80,197,163,113,8,168,189,125,96,51,29,37,127,22,Biotechnology,6,10,4,7,5,2,8,Male,No Preference
127,181,36,156,133,142,1,59,95,96,92,106,173,53,144,11,Automotive;Pharmaceuticals;Information Technology,6,9,7,4,10,8,5,Male,No Preference
128,198,118,187,82,35,155,119,31,1,98,95,39,24,166,133,Pharmaceuticals,1,9,8,6,7,5,2,Male,Male
129,81,107,101,3,50,138,87,169,153,83,117,102,67,52,139,Telecommunications,4,5,1,3,8,2,6,Female,No Preference
130,160,121,156,165,101,174,73,104,193,42,139,138,170,38,91,Construction;Agriculture,10,9,7,6,8,5,2,Male,No Preference
131,48,148,33,151,154,14,121,176,142,75,47,108,104,190,133,Construction;Consumer Goods,10,4,7,1,5,9,2,Male,No Preference
132,154,74,139,81,169,107,101,83,117,22,153,123,3,138,87,Telecommunications,7,5,6,9,2,4,3,Male,No Preference
133,186,106,143,82,125,131,170,124,127,22,69,137,1,91,118,Agriculture;Pharmaceuticals;Biotechnology,7,10,4,1,6,9,8,Female,No Preference
134,41,168,33,173,163,6,94,22,127,104,113,37,176,157,108,Construction;Biotechnology,5,9,8,10,2,6,1,Female,Female
135,52,101,102,134,117,50,83,3,74,123,151,138,139,169,67,Telecommunications,9,8,6,3,5,10,4,Male,No Preference
136,33,6,109,38,176,138,37,104,108,164,79,173,121,101,94,Construction,8,3,6,10,7,1,9,Female,Female
137,1,89,12,190,59,39,100,166,96,186,199,155,110,21,170,Pharmaceuticals;Mining;Energy,5,2,8,10,9,4,3,Female,No Preference
138,19,196,46,110,160,198,41,119,17,89,155,145,127,76,88,Transportation and Logistics;Hospitality,3,5,6,10,1,8,4,Male,No Preference
139,37,54,76,46,87,150,43,17,18,19,108,38,13,21,10,Hospitality,7,3,4,2,10,5,8,Female,Female
140,5,174,136,193,175,91,47,115,143,86,140,33,170,129,123,Agriculture,10,6,8,4,2,3,1,Male,No Preference
141,163,54,45,127,27,125,39,29,197,28,124,147,47,93,8,Consumer Goods;Biotechnology,4,6,9,10,7,3,5,Female,No Preference
142,22,115,168,120,109,3,17,71,76,1,58,15,10,0,145,Manufacturing,8,4,10,7,1,5,6,Female,Female
143,157,62,163,166,86,80,53,29,128,170,20,190,57,175,22,Biotechnology;Mining,6,10,3,2,1,7,5,Male,No Preference
144,138,67,43,52,175,119,172,197,123,96,192,80,159,160,199,Telecommunications;Biotechnology;Mining,8,7,3,10,4,1,5,Male,No Preference
145,67,42,151,187,109,114,138,189,107,121,37,38,95,110,76,Hospitality;Telecommunications;Construction,3,6,10,1,2,9,4,Female,No Preference
146,87,53,194,156,81,139,52,3,148,117,192,123,181,122,107,Telecommunications;Information Technology,3,1,8,6,5,2,4,Male,No Preference
147,168,54,58,108,161,71,115,37,13,169,10,142,156,36,196,Information Technology;Hospitality;Manufacturing,10,4,5,6,3,9,2,Male,No Preference
148,126,61,183,140,68,9,162,47,21,112,175,121,58,166,131,Energy;Consumer Goods,2,4,5,3,8,6,9,Male,No Preference
149,48,95,71,22,196,75,115,101,156,148,145,97,79,33,44,Construction;Manufacturing,2,5,10,6,3,8,7,Female,No Preference
150,49,190,92,188,148,54,150,79,87,38,78,181,94,56,52,Construction;Hospitality;Automotive,2,6,3,1,9,10,7,Male,No Preference
151,27,147,190,98,175,151,54,14,100,142,85,132,45,28,133,Consumer Goods,6,2,9,4,1,10,5,Male,Male
152,43,10,19,37,85,88,100,54,57,155,87,118,110,95,189,Hospitality,1,8,4,10,5,7,9,Male,No Preference
153,142,183,161,11,148,190,70,36,99,152,173,109,40,92,96,Information Technology;Automotive,4,9,7,8,6,3,1,Female,No Preference
154,88,10,187,83,87,196,198,183,37,189,123,22,76,85,139,Hospitality;Information Technology;Telecommunications,8,7,2,5,6,4,3,Male,No Preference
155,127,135,9,107,103,46,196,44,195,72,48,184,78,18,64,Real Estate,10,6,4,7,1,2,3,Female,No Preference
156,132,84,134,117,74,44,1,151,154,170,125,149,43,9,153,Real Estate;Telecommunications,10,1,4,6,3,7,2,Male,No Preference
157,67,52,3,151,50,102,107,74,22,81,83,154,43,139,87,Telecommunications,8,1,10,6,9,4,2,Male,Male
158,52,151,107,135,198,18,117,182,184,189,166,103,41,46,113,Biotechnology;Real Estate;Telecommunications,6,8,2,9,10,1,4,Female,No Preference
159,20,190,119,172,192,180,199,32,57,197,10,130,96,91,139,Mining,2,7,9,1,5,10,6,Female,No Preference
160,70,2,166,102,81,21,107,187,139,1,92,110,35,82,118,Pharmaceuticals;Energy;Telecommunications,9,2,1,8,4,6,7,Male,Male
161,171,135,131,41,16,46,112,28,121,172,180,13,182,127,94,Consumer Goods;Real Estate;Mining,5,2,6,9,4,10,8,Female,Female
162,145,110,67,185,89,127,24,119,30,85,41,81,146,20,16,Transportation and Logistics,8,10,5,2,1,6,7,Female,No Preference
163,149,28,112,182,61,27,94,47,14,113,126,121,197,46,131,Consumer Goods,6,3,8,9,5,2,4,Female,Female
164,133,190,139,135,195,94,156,9,14,72,41,84,178,147,132,Consumer Goods;Real Estate;Construction,9,3,8,2,7,10,4,Female,No Preference
165,55,168,36,183,148,181,156,115,53,102,109,103,77,171,142,Information Technology,1,8,5,3,9,6,10,Non-binary,No Preference
166,70,89,166,62,21,10,189,199,110,57,147,2,194,175,65,Energy;Mining,10,2,1,5,4,6,7,Male,Male
167,197,85,121,127,125,190,48,147,84,113,198,44,64,178,9,Real Estate;Consumer Goods,7,5,4,6,10,2,3,Female,No Preference
168,193,38,69,78,10,95,88,118,196,85,54,18,100,187,110,Hospitality,4,2,5,8,6,3,10,Male,Male
169,15,169,162,10,145,172,79,68,76,35,146,97,194,110,58,Manufacturing;Energy,3,5,9,8,7,2,6,Male,No Preference
170,49,166,125,74,114,39,164,29,37,101,80,109,168,156,20,Biotechnology;Construction,5,4,7,9,1,8,6,Male,No Preference
171,161,144,192,194,142,55,40,103,181,156,36,102,9,122,148,Information Technology,5,4,10,6,8,9,2,Male,Male
172,191,13,147,130,151,10,199,20,57,116,175,32,172,139,180,Mining,4,8,1,9,10,6,2,Male,No Preference
173,198,100,193,38,78,88,21,54,187,69,18,196,118,85,43,Hospitality,8,7,1,10,6,5,3,Male,Male
174,145,41,47,124,195,184,119,178,103,164,198,20,149,110,107,Real Estate;Transportation and Logistics,3,1,10,5,6,9,4,Male,No Preference
175,13,32,190,197,191,170,130,163,116,199,96,192,91,151,119,Mining,1,2,7,4,10,3,6,Male,No Preference
176,153,187,43,134,107,74,100,85,63,150,103,161,155,69,148,Hospitality;Information Technology;Telecommunications,8,2,3,6,4,7,1,Male,No Preference
177,158,192,110,179,122,55,129,16,168,124,157,63,47,44,156,Information Technology;Transportation and Logistics,2,5,10,6,8,9,4,Female,No Preference
178,9,94,146,2,92,172,68,166,167,79,134,100,58,23,12,Energy,3,2,7,1,9,8,4,Male,No Preference
179,7,70,52,143,92,116,99,101,103,96,57,180,73,142,181,Automotive,6,5,7,8,1,2,9,Female,No Preference
180,189,194,100,21,167,40,90,39,23,58,8,110,79,124,53,Energy;Biotechnology;Information Technology,3,6,2,1,10,8,9,Male,No Preference
181,41,113,135,171,23,197,37,163,9,168,149,53,170,124,123,Biotechnology;Real Estate,9,4,1,3,8,2,10,Female,Female
182,68,94,134,131,58,140,162,23,167,183,108,12,79,50,9,Energy,8,6,10,9,1,3,5,Female,Female
183,154,114,173,33,139,79,148,49,164,109,37,94,43,73,38,Construction,6,7,4,9,8,3,10,Female,No Preference
184,160,126,168,129,123,8,128,147,33,154,66,143,145,20,74,Agriculture;Biotechnology;Transportation and Logistics,4,3,6,8,10,9,1,Male,No Preference
185,168,108,13,157,9,183,76,46,11,77,37,150,171,63,19,Hospitality;Information Technology,10,6,3,1,5,7,2,Female,Female
186,196,155,193,69,18,54,100,10,102,118,21,78,187,52,43,Telecommunications;Hospitality,5,9,3,10,2,7,4,Male,Male
187,95,35,17,1,145,71,3,22,196,0,99,111,76,97,15,Manufacturing,3,4,1,9,8,7,2,Female,No Preference
188,130,190,105,96,65,170,197,57,62,89,16,13,192,159,180,Mining,4,6,10,8,3,5,7,Male,No Preference
189,85,46,42,79,101,164,104,33,76,109,114,21,43,87,155,Hospitality;Construction,9,5,2,1,7,10,6,Female,No Preference
190,112,113,182,149,131,94,28,27,121,47,126,61,14,46,197,Consumer Goods,10,7,4,9,6,1,5,Female,Female
191,57,21,100,193,198,18,95,189,118,155,78,38,54,43,187,Hospitality,4,1,6,10,2,5,9,Male,Male
192,148,55,142,36,9,192,144,40,161,194,156,102,122,181,103,Information Technology,3,5,2,1,4,7,9,Male,Male
193,72,170,126,125,95,149,69,150,155,135,178,195,88,132,18,Hospitality;Real Estate,10,8,2,7,9,3,4,Male,No Preference
194,108,179,141,186,173,109,106,157,104,101,15,79,94,6,131,Information Technology;Construction;Pharmaceuticals,6,5,4,8,9,1,7,Female,Female
195,28,69,140,106,194,24,119,25,125,186,178,4,148,164,187,Agriculture;Pharmaceuticals,8,10,2,1,6,3,5,Female,No Preference
196,92,24,159,73,98,198,7,103,32,39,99,21,1,82,100,Automotive;Energy;Pharmaceuticals,7,6,9,5,8,3,2,Male,Male
197,41,196,46,170,81,43,18,149,151,198,127,1,107,48,38,Telecommunications;Real Estate,2,10,8,5,6,3,7,Female,No Preference
198,136,37,147,48,158,6,138,59,132,104,146,173,16,186,70,Transportation and Logistics;Construction;Agriculture,4,7,2,9,3,1,5,Female,No Preference
199,37,160,94,142,194,182,36,20,127,23,192,166,103,6,22,Biotechnology;Construction;Information Technology,2,7,3,9,5,10,6,Female,No Preference
